,Start,End,NO,NO2,NOx,SO2,CO,O3,PM10,PM2.5,BC,Visibility,WindD,WindS,Temperature,Humidity,Pressure
0,2013/8/12 6:00,2013/8/12 18:00,4.64923076923,14.9346153846,19.6615384615,12.9153846154,1.04461538462,34.9915384615,87.52,47.76375,2.76146153846,8.41384615385,223.888461538,0.623076923077,27.7823076923,81.5669230769,998.314615385
1,2013/8/12 18:00,2013/8/13 6:00,10.2483333333,27.0338461538,36.5623076923,5.42692307692,1.12923076923,13.6884615385,134.545384615,59.4230769231,7.38653846154,4.75538461538,157.108461538,0.265384615385,27.6376923077,89.8092307692,997.643846154
2,2013/8/13 18:00,2013/8/14 6:00,24.8933333333,33.3946153846,56.3807692308,5.34923076923,2.07230769231,9.31846153846,248.814545455,99.4736363636,9.10141666667,2.91846153846,180.756153846,0.196153846154,29.3346153846,85.5584615385,996.547692308
3,2013/8/14 6:15,2013/8/14 17:50,18.68375,20.1372727273,33.5845454545,10.6863636364,1.49,43.8181818182,172.863636364,87.4045454545,6.13281818182,4.93181818182,218.658181818,0.536363636364,32.4745454545,73.0754545455,997.099090909
4,2013/8/14 18:00,2013/8/15 6:00,,16.2492307692,15.5730769231,0.864615384615,1.05692307692,22.8476923077,156.985384615,82.0815384615,7.303,3.63307692308,186.097692308,0.341538461538,30.3230769231,85.4946153846,996.090769231
5,2013/8/15 6:30,2013/8/15 18:10,,11.093,86.3175,0.755,1.24909090909,52.9066666667,157.545,80.4216666667,5.81075,6.56083333333,209.670833333,0.855,34.3175,70.4533333333,995.230833333
6,2013/8/15 18:30,2013/8/16 6:30,2.4325,12.9058333333,13.7141666667,,0.94,19.0741666667,136.895833333,64.6016666667,6.25075,4.36916666667,219.693333333,0.590833333333,30.0891666667,85.5466666667,993.704166667
7,2013/8/16 6:40,2013/8/16 18:00,2.81083333333,12.6483333333,15.5225,10.7536363636,1.39666666667,65.5266666667,155.996363636,78.9154545455,5.17233333333,5.72666666667,215.083333333,1.12833333333,34.4875,68.7408333333,990.6
8,2013/8/16 18:00,2013/8/17 6:00,4.1,19.0515384615,23.2107692308,3.75333333333,1.37923076923,29.2130769231,212.553076923,101.95,6.74530769231,4.20615384615,202.742307692,0.373076923077,31.3707692308,78.3923076923,991.230769231
9,2013/8/17 6:00,2013/8/17 18:00,55.5614285714,25.062,64.4114285714,,1.38428571429,46.5042857143,240.76,93.0975,5.33257142857,9.22285714286,47.0928571429,0.617142857143,34.1114285714,54.0471428571,994.197142857
10,2013/8/17 18:00,2013/8/18 6:00,30.3708333333,34.525,56.0907692308,37.4925,2.46461538462,22.98,253.348333333,93.0875,9.72007692308,7.31692307692,208.633846154,0.295384615385,30.6069230769,63.6815384615,997.453846154
11,2013/8/18 6:20,2013/8/18 18:00,6.85583333333,14.6325,21.5516666667,18.7675,1.16583333333,52.34,107.665833333,44.1558333333,4.65775,15.1966666667,73.8858333333,0.853333333333,31.8158333333,43.1525,1001.32333333
12,2013/8/18 18:00,2013/8/19 6:23,5.38538461538,24.54,29.9969230769,25.3538461538,1.96615384615,24.4023076923,137.900769231,45.8684615385,4.59907692308,12.29,131.531538462,0.222307692308,27.5946153846,57.27,1002.47230769
13,2013/8/19 6:30,2013/8/19 18:00,7.69333333333,11.0041666667,18.7316666667,20.9908333333,0.995833333333,67.8183333333,96.725,37.4366666667,2.79983333333,15.7875,74.845,0.795,31.095,45.6441666667,1003.12166667
14,2013/8/21 6:22,2013/8/21 18:00,6.05666666667,10.7541666667,16.8633333333,29.7833333333,1.4075,87.6308333333,200.233333333,102.621666667,4.73033333333,8.2875,137.665833333,0.5675,30.935,52.3433333333,1000.40333333
15,2013/8/21 18:32,2013/8/22 6:00,30.9791666667,21.4183333333,52.5825,9.1975,1.14,23.5208333333,257.97,107.0775,10.6065833333,5.3825,212.321666667,0.0766666666667,27.2975,67.9158333333,1000.265
16,2013/8/22 6:30,2013/8/22 17:58,9.02272727273,10.7818181818,19.8572727273,25.2745454545,1.25454545455,90.6627272727,201.375454545,106.604545455,5.95272727273,7.04636363636,79.4072727273,0.822727272727,31.3436363636,52.9663636364,1000.58363636
17,2013/8/22 18:00,2013/8/23 6:24,3.72384615385,34.53,38.2176923077,28.7176923077,1.64846153846,34.4476923077,291.28,173.620769231,5.52807692308,2.04461538462,125.321538462,0.588461538462,27.6969230769,73.7061538462,1001.29384615
18,2013/8/23 7:01,2013/8/23 17:30,3.418,20.846,24.298,25.625,1.48,92.461,233.494,137.914,7.1353,3.533,66.53,0.775,30.445,60.756,1000.967
19,2013/8/23 18:09,2013/8/24 6:04,2.2775,34.54,36.825,33.7108333333,1.26333333333,19.6366666667,112.821666667,52.3066666667,4.39258333333,10.8333333333,225.865833333,0.474166666667,27.4708333333,52.2766666667,1001.59833333
20,2013/8/24 6:35,2013/8/24 17:30,17.2927272727,22.7372727273,40.1136363636,30.6927272727,1.59181818182,66.0536363636,117.035454545,57.62,4.14090909091,9.75636363636,37.4345454545,0.762727272727,30.8118181818,44.4481818182,1001.62545455
21,2013/8/24 17:54,2013/8/25 17:37,11.3745833333,39.03625,50.445,40.1604166667,1.88166666667,24.75625,204.563333333,78.88625,7.35579166667,6.75083333333,123.78625,0.382083333333,28.7954166667,54.87375,1001.42791667
22,2013/8/25 18:09,2013/8/26 10:47,31.025625,33.0925,64.29125,24.419375,2.358125,11.11375,250.16375,96.89875,10.0556875,4.284375,230.189375,0.29875,25.296875,69.660625,999.30875
23,2013/8/27 5:52,2013/8/27 17:00,5.43833333333,11.235,16.745,7.6125,1.02583333333,42.1191666667,140.895,68.3608333333,6.60825,5.5925,217.031666667,0.378333333333,27.4391666667,74.1008333333,999.555833333
24,2013/8/27 17:30,2013/8/28 6:00,2.49153846154,16.64,19.1684615385,5.03,0.998461538462,31.4853846154,148.125384615,63.4215384615,6.59761538462,4.32230769231,199.835384615,0.426153846154,26.7815384615,79.9323076923,996.188461538
25,2013/8/28 6:00,2013/8/28 17:02,3.71666666667,12.8058333333,16.5675,17.9191666667,1.44833333333,45.74,129.721666667,69.26,4.67975,4.87833333333,260.911666667,0.676666666667,30.1375,69.6508333333,993.141666667
26,2013/8/28 17:24,2013/8/29 5:18,3.66833333333,28.4583333333,32.1583333333,70.7041666667,2.45916666667,18.9583333333,223.660833333,61.335,4.42808333333,8.47833333333,303.643333333,1.42916666667,29.9916666667,44.8116666667,992.898333333
27,2013/8/29 5:37,2013/8/30 5:15,5.73583333333,19.085,24.85125,26.6533333333,1.22291666667,41.1608333333,133.890416667,34.98,2.45195833333,14.0975,156.67625,0.9275,29.2958333333,40.77,997.484583333
28,2013/8/30 5:36,2013/8/30 16:26,13.3636363636,17.5845454545,31.0809090909,16.1909090909,0.986363636364,27.8509090909,114.212727273,35.4263636364,3.18972727273,11.1,151.022727273,0.777272727273,24.4381818182,51.9409090909,1005.06363636
29,2013/8/30 16:50,2013/8/31 5:23,26.0723076923,20.9784615385,47.2069230769,12.1961538462,1.33,17.4346153846,189.361538462,56.1084615385,7.58023076923,8.79692307692,169.747692308,0.346923076923,21.8169230769,62.9353846154,1005.82615385
30,2013/8/31 5:58,2013/8/31 14:56,48.6444444444,18.0733333333,66.9377777778,34.9933333333,2.69777777778,48.3711111111,245.956666667,83.0911111111,5.945,8.99111111111,186.004444444,0.456666666667,26.2066666667,46.7444444444,1006.43777778
31,2013/9/2 5:56,2013/9/2 16:00,5.08,18.3327272727,23.4990909091,19.3727272727,1.30727272727,52.8609090909,159.263636364,51.6354545455,4.34381818182,9.15636363636,210.213636364,0.794545454545,26.5063636364,51.53,1006.96181818
32,2013/9/2 16:30,2013/9/3 5:43,15.9823076923,25.4823076923,41.5761538462,9.26461538462,1.13153846154,23.6538461538,261.966153846,77.2930769231,6.194,5.83230769231,206.111538462,0.173846153846,23.1530769231,65.8523076923,1007.71615385
33,2013/9/3 6:07,2013/9/4 6:00,14.6420833333,32.64875,47.3404166667,33.5891666667,2.41125,36.0879166667,273.696666667,105.647916667,8.642125,5.30125,167.435,0.31125,26.095,57.1504166667,1007.5825
34,2013/9/4 6:07,2013/9/5 5:32,17.4817391304,32.8382608696,50.4039130435,32.097826087,1.90217391304,27.8982608696,177.736956522,79.182173913,6.20239130435,3.85043478261,116.81,0.476086956522,23.9226086957,66.9408695652,1007.02826087
35,2013/9/5 6:12,2013/9/6 5:31,13.0395652174,20.7943478261,33.9126086957,10.3895652174,1.33391304348,26.8126086957,162.150869565,78.2917391304,6.46117391304,3.10695652174,197.777826087,0.393913043478,22.0939130435,75.6352173913,1008.18086957
36,2013/9/8 6:54,2013/9/9 6:59,3.0775,14.0666666667,17.18375,8.06,1.20625,31.0454166667,115.129473684,63.4705263158,4.67254166667,2.45833333333,196.076666667,0.644583333333,20.3483333333,85.4504166667,1008.61125
37,2013/9/9 7:25,2013/9/10 6:48,14.592173913,19.8691304348,34.5995652174,12.9769565217,1.71260869565,22.8430434783,191.967391304,100.411304348,7.23052173913,2.42043478261,175.003478261,0.306956521739,22.1817391304,78.7395652174,1004.91956522
38,2013/9/10 7:23,2013/9/11 6:53,55.4465217391,22.5152380952,74.9813043478,11.0895652174,1.66260869565,25.4726086957,264.363043478,119.870869565,9.17665217391,2.42913043478,159.834347826,0.281739130435,24.0295652174,74.7217391304,1006.23304348
39,2013/10/10 7:23,2013/10/11 7:23,17.4720833333,22.0516666667,39.6795833333,16.13125,1.98791666667,18.61875,273.039166667,136.689230769,7.20666666667,7.23541666667,204.31625,0.485,22.4233333333,35.7391666667,1006.805
